Solvent	Base	ligands-SMILES	ligands-IUPAC	additives	Catalyst
		CC1=CC(OC)=CC(C2=N[C@H](C(C)(C)C)CO2)=N1	"(R)-4-(tert-butyl)-2-(4-methoxy-6-methylpyridin-2-yl)-4,5-dihydrooxazole"		
		C1(CCC2)=C2N=C(C3=N[C@H](C4=CC=CC=C4)CO3)C=C1	"(R)-2-(6,7-dihydro-5H-cyclopenta[b]pyridin-2-yl)-4-phenyl-4,5-dihydrooxazole"		
		CC(C)(C)[C@H](CO1)N=C1C2=NC3=C(CCCC3)C=C2	"(R)-4-(tert-butyl)-2-(5,6,7,8-tetrahydroquinolin-2-yl)-4,5-dihydrooxazole"		
		CC(C)(C)[C@H](CO1)N=C1C2=NC3=C(CCC3)C=C2	"(R)-4-(tert-butyl)-2-(6,7-dihydro-5H-cyclopenta[b]pyridin-2-yl)-4,5-dihydrooxazole"		
		CC(C)C(CO1)N=C1C2=NC3=C(CCCC3)C=C2	"4-isopropyl-2-(5,6,7,8-tetrahydroquinolin-2-yl)-4,5-dihydrooxazole"		
		CC1=CC=CC(C2=NCCO2)=N1	"2-(6-methylpyridin-2-yl)-4,5-dihydrooxazole"		
		CC(CO1)(C)N=C1C2=NC(C#N)=CC=C2	"6-(4,4-dimethyl-4,5-dihydrooxazol-2-yl)picolinonitrile"		
		CC(CO1)(C)N=C1C2=NC(C#N)=CC=C2	"6-(4,4-dimethyl-4,5-dihydrooxazol-2-yl)picolinonitrile"		
		C[C@@H](CO1)N=C1C2=NC(CC)=CC=C2	"(S)-2-(6-ethylpyridin-2-yl)-4-methyl-4,5-dihydrooxazole"		
		CC1=CC(OC)=CC(C2=N[C@@H](C(C)C)CO2)=N1	"(S)-4-isopropyl-2-(4-methoxy-6-methylpyridin-2-yl)-4,5-dihydrooxazole"		
		CC(C)(C)[C@H](CO1)N=C1C2=NC3=C(CCCC3)C=C2	"(R)-4-(tert-butyl)-2-(5,6,7,8-tetrahydroquinolin-2-yl)-4,5-dihydrooxazole"		
		CC1=CC(Cl)=CC(C2=N[C@H](C(C)(C)C)CO2)=N1	"(R)-4-(tert-butyl)-2-(4-chloro-6-methylpyridin-2-yl)-4,5-dihydrooxazole"		
		CC1=CC=CC(C2=N[C@H](C3=CC=CC=C3)CO2)=N1	"(R)-2-(6-methylpyridin-2-yl)-4-phenyl-4,5-dihydrooxazole"		
		CC(C)[C@@H](CO1)N=C1C2=NC(C3=CC=CC=C3)=CC=C2	"(S)-4-isopropyl-2-(6-phenylpyridin-2-yl)-4,5-dihydrooxazole"		
		CC([C@H](CO1)N=C1C2=NC=C(C(F)(F)F)C=C2)(C)C	"(R)-4-(tert-butyl)-2-(5-(trifluoromethyl)pyridin-2-yl)-4,5-dihydrooxazole"		
		N#CC1=CC=CC(C2=NC(C(C=CC=C3)=C3C4)C4O2)=N1	"6-(3a,8a-dihydro-8H-indeno[1,2-d]oxazol-2-yl)picolinonitrile"		
		CC(C)C[C@H](CO1)N=C1C2=NC3=C(C=CC=C3)C=C2	"(R)-4-isobutyl-2-(quinolin-2-yl)-4,5-dihydrooxazole"		
		ClC(C=C1)=CC2=C1N=C(C3=N[C@H](C(C)(C)C)CO3)C=C2	"(R)-4-(tert-butyl)-2-(6-chloroquinolin-2-yl)-4,5-dihydrooxazole"		
		CC(C)(C)[C@H](CO1)N=C1C2=NC=CC3=C2C=CC=C3	"(R)-4-(tert-butyl)-2-(isoquinolin-1-yl)-4,5-dihydrooxazole"		
		C1(C=CC=C2)=C2N=C(C3=N[C@@H](C4=CC=CC=C4C5)[C@@H]5O3)C=C1	"(3aS,8aR)-2-(quinolin-2-yl)-3a,8a-dihydro-8H-indeno[1,2-d]oxazole"		
		C1(C=CC=C2)=C2N=C(C3=N[C@H](C4=CC=CC=C4)CO3)C=C1	"(R)-4-phenyl-2-(quinolin-2-yl)-4,5-dihydrooxazole"		
		CC1=CC(C2=N[C@H](C(C)(C)C)CO2)=NC3=C1C=CC=C3	"(R)-4-(tert-butyl)-2-(4-methylquinolin-2-yl)-4,5-dihydrooxazole"		
		C12=CC=CC=C1C=C(C3=N[C@H](C4=CC=CC=C4)[C@@H](C5=CC=CC=C5)O3)N=C2	"(4R,5R)-2-(isoquinolin-3-yl)-4,5-diphenyl-4,5-dihydrooxazole"		
		CC(C)[C@H](CO1)N=C1C2=CC=CC3=C2N=CC=C3	"(R)-4-isopropyl-2-(quinolin-8-yl)-4,5-dihydrooxazole"		
		CC(C)(C)[C@H](CO1)N=C1C2=NC3=C(C=C(C)C=C3)C=C2	"(R)-4-(tert-butyl)-2-(6-methylquinolin-2-yl)-4,5-dihydrooxazole"		
		CC(C)(C)[C@H](CO1)N=C1C2=NC3=C(C=CC=C3)C=C2	"(R)-4-(tert-butyl)-2-(quinolin-2-yl)-4,5-dihydrooxazole"		
		COC1=CC(C2=NC(C(C)(C)C)CO2)=NC3=C1C=CC=C3	"4-(tert-butyl)-2-(4-methoxyquinolin-2-yl)-4,5-dihydrooxazole"		
		COC(C=C1)=CC2=C1N=C(C3=NC(C(C)(C)C)CO3)C=C2	"4-(tert-butyl)-2-(6-methoxyquinolin-2-yl)-4,5-dihydrooxazole"		
		CC1=CC=CC=C1N2C=C[N+](C)=C2.[I-]	3-methyl-1-(o-tolyl)-1H-imidazol-3-ium iodide		
		CC1=CC(C)=CC(C)=C1[N+]2=CN(C3=C(C)C=C(C)C=C3C)C=C2.[Cl-]	"1,3-dimesityl-1H-imidazol-3-ium chloride"		
		CC([N+]1=CN(C(C)(C)C)C2=C1C=CC=C2)(C)C.[Cl-]	"1,3-di-tert-butyl-1H-benzo[d]imidazol-3-ium chloride"		
		C[N+]1=CSC2=C1C=CC=C2.[I-]	3-methylbenzo[d]thiazol-3-ium iodide		
		N1(C2CCCCC2)C=C[N+](C3CCCCC3)=C1.[Cl-]	"1,3-dicyclohexyl-1H-imidazol-3-ium chloride"		
		CC(C)C1=CC=CC(C(C)C)=C1N2CCN(C3=C(C(C)C)C=CC=C3C(C)C)[C]2	"1,3-bis(2,6-diisopropylphenyl)imidazolidine"		
		N1(C2CCCCC2)CCC[N+](C3CCCCC3)=C1.[Br-]	"1,3-dicyclohexyl-3,4,5,6-tetrahydropyrimidin-1-ium bromide"		
		N1(C2CCCCC2)C(C=CC=C3)=C3[N+](C4CCCCC4)=C1.[Cl-]	"1,3-dicyclohexyl-1H-benzo[d]imidazol-3-ium chloride"		
		C[N+](C=C1)=CN1C2=CC=CC=C2OC(F)(F)F.[I-]	3-methyl-1-(2-(trifluoromethoxy)phenyl)-1H-imidazol-3-ium iodide		
		FB(F)F.C[N+]1=CN(CCCC)C=C1.[F-]	Unname1		
		CC([N+]1=CN(C(C)(C)C)C=C1)(C)C.[Cl-]	"1,3-di-tert-butyl-1H-imidazol-3-ium chloride"		
		C[N+]1=CN(CCCCCCCC)C=C1.[Cl-]	3-methyl-1-octyl-1H-imidazol-3-ium chloride		
		CC(C)N1C=C[N+](C(C)C)=C1.[Cl-]	"1,3-diisopropyl-1H-imidazol-3-ium chloride"		
		C[N+]1=CN(C2=CC=CC=C2)C=C1.[I-]	3-methyl-1-phenyl-1H-imidazol-3-ium iodide		
		CC(C)C1=CC=CC(C(C)C)=C1[N+]2=CN(C3=C(C(C)C)C=CC=C3C(C)C)C=C2.[Cl-]	"1,3-bis(2,6-diisopropylphenyl)-1H-imidazol-3-ium chloride"		
		CC1=CC(C)=CC(C)=C1[N+]2=CN(C3=C(C)C=C(C)C=C3C)CC2.[Cl-]	"1,3-dimesityl-4,5-dihydro-1H-imidazol-3-ium chloride"		
		C12=CC=CN=C1C(C3=CC=CC4=C3N=CC=C4)=CC=C2	"8,8'-biquinoline"		
		O=C(N[C@H](CO)C1=CC=CC=C1)C2=CC=CN2	(S)-N-(2-hydroxy-1-phenylethyl)-1H-pyrrole-2-carboxamide		
		O=C(N[C@@H](C1=CC=CC=C1)CO)C2=CN=CC=N2	(S)-N-(2-hydroxy-1-phenylethyl)pyrazine-2-carboxamide		
		O=C(N[C@H](CO)C1=CC=CC=C1)C2=CC=CS2	(S)-N-(2-hydroxy-1-phenylethyl)thiophene-2-carboxamide		
		O=C(N[C@H](CO)C1=CC=CC=C1)C2=CC=CN2	(S)-N-(2-hydroxy-1-phenylethyl)-1H-pyrrole-2-carboxamide		
		O=C(N[C@H](CO)C1=CC=CC=C1)C2CC(C=CC=C3)=C3N2	N-((S)-2-hydroxy-1-phenylethyl)indoline-2-carboxamide		
		XantPhos	XantPhos		
		DPEPhos	DPEPhos		
		BINAP	BINAP		
		(S)-SEGPHOS	(S)-SEGPHOS		
		dppbenz	dppbenz		
		dppf	dppf		
		dmpe	dmpe		
		dppm	dppm		
		dppp	dppp		
		dppb	dppb		
		dcpe	dcpe		
		dnpf	dnpf		
		PCy3	PCy3		
		APhos	APhos		
		TPPO	TPPO		
		Cyclohexyi JohnPhos	Cyclohexyi JohnPhos		
		DavePhos	DavePhos		
		XPhos	XPhos		
		Sphos	Sphos		
		MePhos	MePhos		
		RuPhos	RuPhos		
		BrettPhos	BrettPhos		
		JohnPhos	JohnPhos		
		JackiePhos	JackiePhos		
		WuDaPhos	WuDaPhos		
